sentences,emotion
much pressure can overtly or unwittingly be put on grown up children to provide grandchildren for the delight of the grandparents,happy
a host of splendid 19th century rooms throughout lord byron s apartments are open for the delight of the public,happy
his delight first makes itself evident during his solo for lise even though technical mistakes keep on happening,happy
elaine exclaimed her delight evident as she entered the open plan living- and dining room decorated in a fresh lemon and blue fabric which christina had chosen,happy
she supposed she ought to feel apprehensive but she felt only deep delight and it seemed the most natural thing in the world to be making her way through the moonlight to raynor,happy
elizabeth cast one happy glance at the dawning delight on the other two faces and continued with the joyful work,happy
the most beautiful part of the ceremony was the delight on todd s face as he was wheeled close to the altar to receive the eucharist with his arms outstretched,happy
as trains halted the orchestra struck up aaron copland s fanfare for the common man much to the amusement and delight of curious passengers,happy
afterwards mr booth showed his delight by distributing chocolate bars to auction room patrons,happy
when the marchers passed the city s overhead railway two trains hooted in solidarity to the crowd s delight,happy
applause rang out and she twirled around to acknowledge it in demure delight clapping the barman -- and then being crushed against the ample bosom of the barman s wife,happy
as i set off i had a fleeting glimpse of the leer of pure delight on simkin s face,happy
during his fishing time though it was sheer delight for him his boys were always ready and willing to go to sea bother u boats etc,happy
julia s questions about the line the defence lawyers were taking were as acute as anything she had ever asked david and they filled him with relieved delight,happy
he also said to the delight of those nonconformists who read his memoirs that watson s tour was far more successful than matthew arnold s,happy
to his absolute delight the first trap had held what must have been a seven pound salmon plus a couple of mullet which he had ignored,happy
to her delight he even took to discussing his work with her and leonora listened rapt utterly fascinated by glimpses of the other professional penry vaughan she secretly found so impressive,happy
but now he has made a full recovery to the delight of his proud parents fred and denise,happy
he looked around at their delighted faces and began to feel embarrassed,happy
the old man answered my knock and his big face split into a delighted grin when he saw me,happy
he broke off as jim miller let go a indian whoop of relief and delighted grins spread across the faces of everyone in the group,happy
her face lit up with a delighted smile as she gazed at an abandoned plate of half eaten sandwiches on a nearby table,happy
with a wide delighted smile because she had not really expected ever to see him again she teased are you following me,happy
you think of everything do not you she said with a delighted smile,happy
delighted about jim apprehensive for jasper alice lay for a long time awake in the silent room,happy
i am delighted about that,happy
cool it steve and tell me why you are so ecstatic,happy
one could get terribly ecstatic but that would be a dangerous thing to do,happy
but some of the younger dons were ecstatic about the election,happy
that morning i was so ecstatic about my triumph in seducing the dog owner s daughter that i would completely forgotten about jamila s big decision,happy
when she was ecstatic and she was often ecstatic ecstasy flew from her face like the sun from a mirror,happy
i am ecstatic about this it is like winning my first cap not my 23rd,happy
afterwards he was quietly ecstatic,happy
minute shards of glass slashed across rohmer s ecstatic face,happy
but he was confronted by an ecstatic welcome from his mother who was waiting for him on the doorstep,happy
i would not say she gives me an ecstatic welcome,happy
no speeches have yet been greeted with ecstatic cries of author author -- probably because denis healey is not there -- but the clash of rival socialist philosophies is no less cacaphonous,happy
"more then 40,000 ecstatic fans filled stadia each night to scream at the girly they instantly dubbed the mighty minogue",happy
in march they were received as world champions by an ecstatic crowd after winning the cricket world cup for the first time,happy
she could not convince me at the time that anything bad could happen now that i had finally solved my eating problems and for a short time i felt jubilant relieved and ecstatic,happy
her expression became dreamy ecstatic,happy
"riot police were needed to quell pitch invasions -- more than 200,000 ecstatic leeds united fans took part in a carnival style street party yesterday as their team paraded the league championship trophy",happy
at the same time i am elated and i can go back to the vices i did have said mr tyson,happy
mungo felt elated smiling back,happy
not so according to elated opponents of nuclear power,happy
i felt elated especially when he said i am looking for an actor just like you,happy
he felt elated warm hearted at the sight of the place where he would been born,happy
i was elated excited in another world,happy
for my part i feel elated and close to tears,happy
the pretty young undergraduate felt elated,happy
he felt both elated and frightened,happy
nor was the thought that he alone might hold the key to the mystery the sole component in his strangely elated state,happy
perhaps elated behaviour has evolved in connection with a rise in the hierarchy depressive behaviour with a fall,happy
suddenly to her relief the telephone rang joanna picked it up wrote down the message and came back to the table looking elated,happy
as i walked down the front steps for the last time a feeling of elation swept over me,happy
i remember my feeling of elation when i climbed aboard the train,happy
the participants in folk dance can and certainly do show elation,happy
her elation took her into her clothes back to the kitchen to leave phoebe a scrawled memo and out of the front door,happy
he even telephoned wexford to tell him about it his elation subsiding somewhat when he heard the chief inspector had also found this out three hours before,happy
in our elation there was some suspicion that our experience had been secret adventurous and unique,happy
so i was in a great state of elation,happy
a wave of cheerful elation swept over her as she separated her pound note from yanto s fivers,happy
after each test there was never any great sense of elation but rather that a step towards the ultimate goal was taken,happy
you will not regret it the cardinal told her observing the prince s elation and guessing its cause,happy
emily suddenly felt a surge of elation she was eager for the new experience of being introduced into what she considered was the world of adulthood,happy
if the manual was lying in the bmw i think some hint of the elation of the police would have come through on the intercepts,happy
then as could happen with him he felt a deep despondency replace his feeling of elation,happy
george drove past and felt a terrible anger replace his elation,happy
in fact they encouraged us most warmly and we shared the general mood of elation at the overall success of the 1974 submission,happy
a surge of elation rushed through his body as he read the note for the third time unable to believe the implications of what he was reading,happy
figurative arts even more than poetry expressed the mixed feelings of elation over past victories and fear of future incursions which the celts inspired,happy
but the sense of elation was short lived,happy
my elation of the previous day began to evaporate until i remembered agnes the indentures i had signed and the basic honesty of ralemberg and de macon,happy
looking down at the dead man wycliffe felt guilty because he was experiencing a sense of mild elation,happy
but when he stepped up on to the conductor s rostrum for the opening production of a new season he was -- every time -- filled with a sense of sheer elation,happy
we grew more and more excited,happy
paddington grew more and more excited as he listened,happy
i remembered that tansy had said something about a pendant and topaz being quite excited about it,happy
so we are quite excited about it and also it is quite a major problem,happy
i am just so excited because he says i can be in charge of it,happy
auguste sat in the small balcony with his mother and father for once not noticing the unaccustomedness of their best clothes so excited were they,happy
they say the king s left welshpool with a small escort ahead of the army volunteered a boy a yard or so in front of them turning an excited face,happy
the remaining men were just preparing to leave when suddenly a young man called laban tall rushed into the malthouse almost too excited to speak,happy
then having shown the plate to various not very excited colleagues he resumed his holiday,happy
right now i am feeling very excited,happy
in a minute sir wilfrid returned looking very excited,happy
the problems start when he becomes more excited and frisky than usual,happy
some horses become excited and upset if something goes a bit wrong when they are in harness such as chains or ropes becoming entangled around their feet,happy
at the same time they could become excited about house matches or school matches and take part in such events with earnest aggressiveness,happy
there have been some most tempting glimpses of it when you have become excited about a design or angry with yourself for a failure to meet your own high standards,happy
you can not get very excited when she brings home half price loo rolls and stale cough sweets,happy
and everybody gets very excited because three hundred and fifty kilos in durham tomorrow morning sounds like a good pay day,happy
and suddenly they found themselves talking the sort of language that all of us can understand and they got quite excited about this,happy
donna seemed quite excited about it,happy
alexandra was extremely excited over excited in janet s opinion,happy
sir jack brabham says he is never been so excited about a new motor car and the challenge is to go and take on the best,happy
i have been looking forward to her visit for weeks and was very excited when i met her,happy
just like trippers heading for the isle of wight they had packed their picnic baskets and sat chatting on deck as their excited children played,happy
bang on cue she strode out on to the stage feeling none of the terror that had crippled her last performance the excited cheers of the children bringing a beaming smile to her face,happy
the three of them started walking followed by the excited crowd,happy
salesmen were still tramping the aisles of the carriages shouting over the excited chatter of the crowd the squawking of chickens and bleating of goats,happy
the excited smile on her face told ingrid that the girl was enjoying herself,happy
perhaps he was just imagining the undercurrent of nostalgia he told himself as he looked at cora beth s flushed excited face,happy
benjamin nodded and stared where an ostler was trying to calm an excited horse,happy
i was working late on one of these bad nights when an excited dr laurent rushed into my office,happy
i feel excited when i come up with something that i can have jack to help me with i am always ready to hear what he has,happy
and i am really excited about it and there is lots of interest i think this places are taken up already,happy
it was the prospect of finding gold that induced these excited men to make such frantic efforts to open out the barrow,happy
breakfast was quite a social affair as we were frequently visited by new found friends in the shape of two fat and very vocal geese a young swan and a bevy of excited ducks,happy
her head turned restlessly on the pillow as she strove to distance herself from the increasingly excited voice of the commentator and the air splitting whine of the high revving engines,happy
but now she looked excited,happy
her headache seemed to be getting worse and worse and raffaella s command of english slipped as she grew increasingly excited,happy
instead i made my way back along the sand watching some evidently exhilarated surfers,happy
as the programme of meetings rolled on sometimes with many presentations on the same day horsley was exhilarated amazed and excited,happy
we feel at this point actually quite exhilarated   said nicola mcintyre of san francisco,happy
then in his foolish exhilaration he had leaped into a tree and spotted them with his binoculars,happy
the contrast with her exhilaration on the frozen lake had come so swiftly,happy
i had been working for more than an hour and my wrists ached from the continuous chopping but i was filled with an immense exhilaration,happy
within the next few months -- and long before the next election -- they will have to settle these questions or see the spectre of the winter of discontent raised to haunt them by gleeful conservative politicians,happy
he was gleeful about the idea of a faber vaudeville production in 1929 where he starred as a baritone singing bolovian ballads and a song about a blue baboon,happy
doisneau is a small bird like man with mischievous eyes and a gleeful laugh,happy
connor s voice was gleeful,happy
culley imagined susan s gleeful smile as she waited for yorke to work it out,happy
but matta was gazing at him and his grin was wider more gleeful,happy
she was interrupted by another hoarse gleeful chuckle,happy
gleeful opposition leaders and tory euro sceptics said the government s handling of maastricht had descended into shambles,happy
the bouncer s glee the masculine grunts in the background of quite right too were a timely reminder of surviving and thriving misogyny and of the petty power struggle it engenders,happy
vitor went down on his hunkers and much to the child s glee spent a minute or two admiring the toy,happy
the gorengs made their home in the former diplomatic quarter the area which had to the glee of the chinese in the toku ru warehouse been accidentally shelled by the malai navy on invasion day,happy
she wished she could share her glee with adam,happy
tremayne was pink with gratification,happy
however she had no intention of revealing her gratification to anne,happy
in the end he had little real choice but to join in and if not exactly enjoy it at least to take comfort in her gratification,happy
dear lord he can be stupid thought scarlet as she saw camille about to respond with the surprised gratification of a matador to whom the bull has blindly turned his flank,happy
to our gratification blackwells whom we had approached expressed interest in the project something we had not dared to expect,happy
his gratification was almost unbounded when on arriving at the belts of the murray he found not only numerous new species but new forms of birds,happy
the jeweller was overjoyed he began spending heavily,happy
the nurse sent to accompany leslie tried hard to melt into the background as the overjoyed family spent several hours opening presents under the tree,happy
within months revival began and overjoyed christians overflowed into the city streets,happy
and the overjoyed youngster was swept off her feet by her favourite royal,happy
how pleased your uncle will be said finn loitering for hot shaving water,happy
she was really pleased when she came back and found him fighting fit even though he was still using one wing as a crutch to support his crooked leg,happy
captain mcarthur was a musical comedy aficionado and not pleased when mrs kingswood spoke critically of the form,happy
well he was pleased when you agreed to this,happy
paula mother of nicola 4 and richard 2 was pleased when the local council made the playground in the town park more child friendly,happy
it is difficult to tell whether they are disappointed or pleased when the expected end seems delayed,happy
did not seem too pleased about something,happy
the army had not been too pleased about that little episode either,happy
no one was more pleased about dara s demise than roshanara begum,happy
you are pleased about his engagement -- he told me that some time ago -- and you have as good as admitted it tonight,happy
he had not sounded very pleased about something -- that made two of them,happy
i am obviously very pleased about winning but it was also great that my parents were here,happy
when alain s mother finally went inside with a few rueful shakes of her head and a pleased look on her face jenna decided to risk all,happy
ralf the pedlar stood in the centre of the drawbridge a pleased smile stretching from ear to ear,happy
the children were watching tv peacefully but annie saw her as she bobbed her head around the door gave a pleased gurgle and started to scramble down,happy
i found that most parents were initially rather shocked at finding out their daughter was pregnant some cried some got angry some were very matter of fact and some were quite pleased,happy
debbie would be pleased she said,happy
i should think you are pleased are not you asked charles genially,happy
poor things no life of their own they say simultaneously thrilled and appalled as they pore over the latest revelations in the mail or express,happy
he himself was thrilled but his pleasure was diminished as he imagined ken s pallid bandaged head shadowed on the screen,happy
bill ll be so thrilled,happy
audiences were thrilled box office cash registers jingled and careers were made,happy
there was no excitement about my first bra -- i even had to pay because my mum claimed i did not need one,happy
the media excitement about enid blyton and captain w. e. johns soon died away,happy
but i remember the excitement in my children s faces,happy
when he came to the part about the clip he glanced up and she saw the flare of excitement in his silvery green eyes before they dropped once again to the page,happy
cranston repeated fighting hard to control the excitement in his voice,happy
elizabeth s face lit up as she told him of martha s excitement over the clothes sent by tamar,happy
for andrew the trip up to london to the awards ceremony attended by the princess of wales was almost overshadowed by his excitement over his first journey on a train up to the capital,happy
imagine my excitement therefore when it seemed recently that i might have stumbled across it in the shape of the tower house in malmesbury wiltshire,happy
her excitement shone in her eyes as she showed him her sketches,happy
somehow she rose over her excitement though and concentrated all she could on the task at hand,happy
glancing up at his face cassie saw his expression change his face darkening and hardening as his mounting excitement and desire seemed to quicken into something uncontainable threatening like the tide of an incoming sea to engulf them both,happy
the crowd was wild with excitement,happy
he pressed himself back once more against the wall panting with excitement,happy
she was tingling with excitement,happy
for a girl brought up in a christian science home there was a certain frightening kind of excitement about medicine like drink for a teetotaller but otherwise she found the work harrowing and repellent,happy
all this generated considerable excitement within aea,happy
robyn was almost ill with excitement and outrage,happy
athelstan gasped with excitement and went round to rouse the coroner,happy
the highlight of the whole tournament -- almost irrespective of their performance on the field -- will be south africa s emergence from the woods a coming in from the cold which is generating a great excitement,happy
sometimes amid great excitement his mother was in with guests who drank wine and laughed loudly and spoiled him and pam,happy
her own intense excitement had given way to a hollow feeling in her stomach and she had been quite unable to eat for several days,happy
he was now a very effective reader of his own work -- his theatrical instincts were here most valuable and as edmund wilson noted he could communicate a feeling of intense excitement to his audiences,happy
amid intense media excitement and stringent security mandela was given a tumultuous ticker tape welcome in new york where he received the freedom of the city,happy
the advertisements appeared in novoye russkoye at the weekend causing a buzz of excitement in the soviet expatriate enclave of brighton beach also known as little odessa,happy
of all the journalists who made the pilgrimage to dovercourt the team from the bbc caused the greatest excitement,happy
the finding of the goat has caused particular excitement since i is one of the few large mammals to have been discovered this century,happy
overjoyed at the prospect she found it difficult to conceal her excitement from those around her,happy
i replied endeavouring to conceal my excitement,happy
what does stand out is that everyone believes that the profession its standards and its aims matter and they all feel an excitement about the job of acting,happy
maggie felt an odd excitement stirring inside,happy
that evening she felt no nervousness at all just excitement controlled excitement,happy
of course it entails extra work but there is a sense of excitement and children like dressing up,happy
patrick was not ready yet to share stevie s excitement,happy
jane was in a state of high excitement,happy
returning to the campuses in a state of excitement they sensed victory over the authorities but had to secure the release of their arrested colleagues,happy
seb reached burford in a state of high excitement only to find that superintending constable aplin was in london,happy
she had smiled and raised rather amused brows at the stories that tumbled in then of fergus s progress,happy
she was greeted with a sympathetic and rather amused smile,happy
she was shortish and had an attractive way of cocking her head on one side and looking up with big dark eyes and a wryly amused smile,happy
guy s mouth kicked up at one corner in a wryly amused smile,happy
there were amused smiles but they did not know at all why alain had done that,happy
she gave him a quick amused glance her head leaning back against the faded red of the alcove seat,happy
ellen gave me an amused glance,happy
the two observers exchanged amused glances and then wandered away under the trees,happy
i noticed with amusement that the tapestries hanging there illustrated the seven deadly sins,happy
i remembered his amusement about such underwear on his first evening at sleet how he subsided into laughter infectious to everyone but me,happy
there was a cool mockery in his deep voice and she turned to glare at him hating him for the fact that he seemed to be deriving amusement from her discomfort,happy
can i help you she asked trying not to let him see the amusement in her blue eyes,happy
there was amusement in jake s voice but there was something else as well,happy
remember that hypnosis is not a party game to be practised by amateurs for the amusement of themselves or others,happy
the simple laughing islanders subsequently worshipped it as a god much to the amusement of their more sophisticated neighbours,happy
i have been sent a leeds united 1993 94 squad picture from the evening post and this now adorns my office wall much to the amusement of my colleagues,happy
he laughed shortly little amusement on his face,happy
aristophanes shook his handsome head over his friend s amusement,happy
this time the prince s amusement was obvious,happy
the note of anger carried to the groups and couples passing by provoking amusement and raised eyebrows,happy
you could make a fortune she said in genuine amusement,happy
agnes watched with amusement as his interest quickened or faded with each phrase,happy
gioella s eyes flashed with amusement as she pushed a chair towards her and said constance what a very sophisticated dress,happy
guy sterne was having great difficulty in controlling his amusement,happy
temperamental differences operate once more with this new trio of junior heroes whose elders the three lieutenants regard their pranks with mild amusement,happy
from the other end of the table ymor watched with mild amusement occasionally feeding one of his ravens with scraps from his plate,happy
i hate to disappoint anyone but that was not the case -- although the veiled hints caused us plenty of amusement,happy
he uttered a short sharp bark which made rosie jump she assumed it was a cough then realised that it was intended as an expression of amusement,happy
he considered this thoughtfully then a gleam of amusement came into his eyes,happy
a look of intense amusement crossed catherine s face,happy
as a toddler she filled in concentric circles provided for her amusement by her father s youngest brother young enough to be her own big brother,happy
a smile of amusement played on his lips as he studied his unkempt prize,happy
one woman who already had a job and a busy life of her own was surprised to find how sad she felt when her children left home in quick succession,sad
he sounded quite sad about it,sad
i made the camp grumbled henry rather like a sad child,sad
while he went up to the bar to order ellie settled back in her seat and with a rather sad light in her eyes watched him,sad
i had the sense he was rather sad the writer now remembers,sad
there must be another reason why you are so sad he said looking kindly at me,sad
but miss van cheele was terribly sad about gabriel ernest,sad
they were very quiet and sad at first because i would be leaving them but i promised i would never forget them and would often return to visit them,sad
well you are very sad tess and you have no reason to be,sad
but other people became very sad and worried,sad
taheb s face became sad,sad
sybil s expression which had become momentarily sad softened into a tender smile that was wholly natural,sad
i feel so sad with marie gone,sad
but not surprisingly many parents continue to feel anxious tense and sad about their children,sad
as she poured coffee for jenny and paul she felt unbearably sad,sad
she did not want to get sad now not now after it had been so good,sad
but why does mr ross always look sad,sad
he looked very sad,sad
almost every month it seems as though some sad parent on the local news is bemoaning the loss of their teenager who died in this way,sad
they all seem terribly sad,sad
she thought he seemed sadder and older and somehow lonely,sad
he smiled a little without altering the sad expression,sad
he was a thin brown man with a brass stud at the neck of his striped shirt and a sad expression as if he were on the point of tears,sad
and out of the dark woods came the black man leading his horse on one arm and on the other a tall grey hound with the saddest face i have ever seen on any creature,sad
his brown nearly auburn hair clung to his scalp as if with misery sad eyes stared out of a freckled face his hands were clenched tight,sad
a black haired woman with a long sad face was inside,sad
when one day nobody could rouse him from his trailer it was lee marvin who entered quietly and found a sombre lonely sad man,sad
he had a clear picture of a sad and lonely man deeply concerned about his health and dwelling on a future which seemed to promise only a fairly rapid decline into senility,sad
tolonen nodded suddenly wistful his lips formed into a sad smile,sad
a small sad smile pulling at her mouth convinced that it would say thank you and goodbye she took a deep breath and began to read,sad
country folklore has it that dobies were actually the sad little ghosts of unwanted or plain women who would fumble around the house trying to be useful until their spirits had been exorcised,sad
my mother was only a sad woman in an old photograph younger then than i was now,sad
a sad old woman rose from her chair as from a dais to take their coats and hang them on a row of hooks nailed against a wall,sad
we are always sad when a young international athlete finds himself in this situation,sad
the grand old man of the scottish mountains author and tv star tom weir said he was sad about the plan,sad
and glenn close s stubborn and pain ridden performance as sunny makes you sad for her and hate her at the same time,sad
we are sad for jason livingston,sad
they are sad for johnny bryan because he can never truly be a member of this particular family,sad
she says we are happy to be in england but we are sad for our relatives,sad
i am surely not alone in feeling profoundly sad over the so called reprieve of certain regiments in the british army,sad
her tone was sad,sad
was it sad because its mummy was nasty to it he said,sad
it is that hard he said ominously and i thought of john maggovertski s sadness for a pretty girl who had whored herself to pay for the white powder,sad
despite the sadness of the occasion many gave way to hysterical giggling as they gradually realized that every compartment contained mourners or corpses,sad
the happy melody of morning has broken followed but the sadness of family and friends choked many of the words,sad
they talk about the sadness of departure what about the guilt of arrival,sad
it is worth asking if all our sadness and anxiety is in fact for our child,sad
was his sadness tinged with guilt,sad
she felt guilty when she sensed beth s deep sadness,sad
it was however obvious that there was some deep sadness within him,sad
when he wondered this he felt a deep sadness,sad
as she looked around she felt a twinge of sadness that in a carriage where 70 per cent of the commuters were men there were five women forced to stand in the aisle,sad
if refused they may feel saddened disappointed or inconvenienced but their self concept is not shattered,sad
she looked at the crumpled figure who was fighting for breath on the pillow perspiration pouring down his anguished face,sad
if she had been paying more attention to his face she might have believed that his deeply shocked anguished expression was not an act put on for her benefit,sad
i only hope you are right he said in anguished tones,sad
she looked up at phoebe with an anguished expression that was nearly honest repentance,sad
the earliest sparkling wines were undoubtedly discovered by accident probably by the trial and error methods employed by anguished winemakers ironically trying to avoid the nuisance of fizzy wines,sad
his anguished voice tailed off to intensify the effect,sad
the anguished princess says morton told one friend if this is the price of public life then it is a price i am no longer willing to pay,sad
as the week went on i got more and more anguished telegrams from home telling me to conclude the deal and come home,sad
she felt the anguished tears of motherhood blur her vision and blinked them away,sad
there was an anguished cry from the tub,sad
alexei s expression was anguished and it was clear that he wished himself elsewhere,sad
he glanced up saw auguste s anguished eyes and thought he understood,sad
gina bit her lip as her sister s anguished sobs echoed over the line,sad
an anguished groan escaped her the certain knowledge hers that both she and cara could say goodbye to that interview for ever if she breathed a word of the truth to him,sad
in time perhaps she would make efforts to conceal her resentment about his ability to make her feel guilty and he would make efforts to conceal his anguish about the loss of her,sad
manager graeme souness s touchline ban meant he could only watch in anguish from the directors   box,sad
her fingers tightened on his hands hearing the anguish in his voice,sad
there was real anguish in his eyes,sad
at last he turned to her and he could not have failed to see the anguish in her eyes,sad
but the address underlines the anguish of her majesty s speech after the windsor castle fire when she referred to 1992 as her annus horribilis,sad
from somewhere in the gloom accompanied by raucous laughter and much crudity a young female voice began to groan and then rise unintentionally mimicking the anguish of a wounded soldier,sad
you may imagine the anguish of the people as this was going on,sad
he could see no way out and in his anguish he began to think of doing himself in the method he would use would have to be quick and simple,sad
my anguish must have shown in my face and in my voice,sad
but the behaviour of reverend prentice has only added to his anguish,sad
for some the strain of living together without legal ties leads to considerable anguish,sad
and ryan had spent more than one night under the roof with her she remembered in bitter anguish,sad
her voice shook her face was white with anguish,sad
the smiles hide the anguish,sad
joseph unable to follow the french waited in anguish not knowing what was being said,sad
it is been our experience that families and particularly carers go through great anguish much pain and heartache associated with this process,sad
she was once considered one of the world s most beautiful women but yesterday every line etched on britt ekland s face told a story of personal anguish,sad
what this implies and should express is the field worker s moral commitment to his foreign hosts this can be the source of much personal anguish and heart searching,sad
this is a peculiarly nasty technique of persuasion causing great psychological anguish throughout the middle ages and even today,sad
some real research i suggest is needed into a condition which though frequently rib tickling in retrospect causes widespread anguish at the time,sad
she felt that would have caused pain and anguish to william and harry,sad
whether the cries of anguish for 1991 alone are justified remains to be seen,sad
a faint cry of anguish came from the direction of the bed,sad
katherine could feel his anguish and for the second time that day the tears slid down her cheeks,sad
he was depressed and has suffered a great deal of mental anguish,sad
suddenly becoming aware of his blue gaze being levelled in her direction she turned a smile into a cough and promptly spilled coffee into the saucer,sad
i felt that she was quite distressed by the birth -- she seemed drowsy and a bit blue,sad
he looked so crestfallen that old bulldog did not know what to do for a minute,sad
the wedding guest did not exactly beat his breast but he looked considerably crestfallen,sad
then in response to my crestfallen look he added kindly of course you did not look gay -- you are no screaming queen -- but nevertheless i just knew,sad
nicky looked crestfallen but did not dare argue with constance when she was in this mood,sad
he looked so crestfallen preston felt sorry for him,sad
he looked a little crestfallen,sad
darby was momentarily crestfallen before saying i still think it is an office you need to find,sad
a dejected david mellor of the royal bank told the magazine doctor i was led to believe it was not an appropriate venue for a bank representative,sad
moreover now that she had achieved the heart s desire for which she had turned on her shameless neurotic display she had become dejected and walked along meekly head and tail hanging,sad
on this occasion city accepted with relish the chances which came their way and inflicted serious psychological damage on their dejected opponents,sad
depression flattens the voice almost to monotony movement is slowed and a dejected facial expression is characteristic of many people when they are in a low mood,sad
when allen at last found a crevice secure enough to trust to he looked over to find that he was peering into the little courtyard onto the rain wet backs of the dejected horses,sad
then they walked away humbled and dejected,sad
i felt frustrated angry utterly dejected,sad
a dejected allen added you can not give john aldridge chances like that -- he is a quality finisher,sad
i felt pierced to the heart dejected and lonely,sad
tennyson discloses that the setting of mariana is in shakespeare s measure for measure where the dejected mariana resides alone in a moated grange,sad
but kirkwood who was a particularly dejected figure after monday s decisive 1 0 defeat by canada injected some pride back into irish ranks in the dying seconds when he flicked home the winner,sad
meanwhile the dejected opposition leader john hewson reacted to his crushing defeat yesterday by abandoning key policies which he had trumpeted as essential for australia,sad
his head craning neck one moment high straining to the ceiling then a sigh utter dejection dropped down between his knees his forehead pressed to the floor,sad
he wandered around in a state of utter dejection belonging nowhere,sad
mccolgan slumped in deep dejection said afterwards it was just a bad race on my part,sad
back in his office mccready threw himself into his chair in deep dejection,sad
very likely he was simply lying on his bed in a state of dejection and perhaps of remorse for his massacre of the possessions which was now generally thought not to have been necessary,sad
it is also likely that by providing minimum standards of living social services reduce public apathy and dejection and thus maintain the will to work,sad
the sun was shining the next morning but the brightness of the day did nothing to dispel eline s feelings of dejection,sad
merrill laughed at her dejection,sad
the journey was taken at a leisurely pace because of the trailer yet despite her dejection matt s reminiscences caused it to pass rapidly,sad
in it a deeply depressed spiro 46 makes several rambling statements about his money problems,sad
he felt suddenly deeply depressed,sad
for the more depressed and lonely people who have few if any outside contacts counselling can appear to deepen the very feelings that it is seeking to alleviate especially in the early stages,sad
as he told barbara afterwards he had never felt more depressed,sad
interpersonal arguments and difficulties were also a more common feature of the experiences of depressed patients than of the comparison group,sad
now endill felt really depressed,sad
after the operation you may feel sick or very depressed -- this is the effect of the trauma of the operation and of the anaesthetic,sad
i am very depressed and have tried to commit suicide several times,sad
by this time i was beginning to think that eric was either dead or had chosen to forget me and i felt very depressed,sad
he became very depressed for some time before he could reassess himself start to use his considerable abilities and begin courting his wife again,sad
unfortunately chris s health suffered and she became very depressed,sad
but he would become depressed about his exams and could not concentrate on his work,sad
have we become so depressed about any real prospect of newness that we have decided to enjoy our chains masochistically dwelling on our miseries and inadequacies,sad
so i got very very depressed about it all and i just said to the officers put me in my cell and leave me alone,sad
i got more and more depressed,sad
upon recovering he admitted he had been extremely depressed since the death of his wife from cancer a year earlier and now did not think he had anything to live for,sad
the mood by this time may be more depressed as they start to look at their own problems as opposed to those of their partner,sad
when i was 15 i was in a depressed state and i thought i will do these last paintings about the end of the world and then i will end it,sad
she was deeply depressed and felt guilty about her depression,sad
